uitkomstmaat,model,ggd_regio,b,ll,ul,referentie_regio,beta_referentie_regio,goedkoper_dan_ref_regio,duurder_dan_ref_regio,verschil,se,t,pvalue,type_uitkomstmaat
Alg_gez_0goed_1slecht,1,GGD Zuid-Limburg,0.2794598232171142,0.2719971505533623,0.2869224958808661,GGD Groningen,0.2200849611543667,False,True,0.0593748620627475,0.003807542249352775,73.39638142285044,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Flevoland,0.22667556710274245,0.198240754312791,0.25511037989269386,GGD Groningen,0.2200849611543667,False,False,0.0,0.014507771669532786,15.62442339637693,5.19163644470833e-55,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Groningen,0.2200849611543667,0.20891166306083933,0.2312582592478941,GGD Fryslân,0.20454326386051522,False,False,0.0,0.005700746431283182,38.60634108309703,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Fryslân,0.20454326386051522,0.1943528129613585,0.21473371475967193,GGD Fryslân,0.20454326386051522,False,False,0.0,0.005199286379926372,39.34064194852291,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Drenthe,0.21112655051590876,0.19486004544164745,0.22739305559017006,GGD Fryslân,0.20454326386051522,False,False,0.0,0.008299359775003555,25.43889604012477,1.2815992044904011e-142,Gezondheid
Alg_gez_0goed_1slecht,1,GGD IJsselland,0.20047487410820597,0.1868408003639971,0.21410894785241483,GGD Fryslân,0.20454326386051522,False,False,0.0,0.006956262742705825,28.819336118150403,2.0564700539838146e-182,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Regio Twente,0.21031873308882992,0.19834241564075383,0.222295050536906,GGD Fryslân,0.20454326386051522,False,False,0.0,0.006110456230607956,34.4194811567948,3.674863430916172e-259,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Noord- en Oost-Gelderland,0.20436410025988092,0.1954850928531025,0.21324310766665933,GGD Fryslân,0.20454326386051522,False,False,0.0,0.004530172681676788,45.11176827463408,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,Veiligheids- en Gezondheidsregio Gelderland-Midden,0.21178221981792553,0.197917332394454,0.22564710724139705,GGD Fryslân,0.20454326386051522,False,False,0.0,0.007074026562066397,29.93800178155703,1.1490498357446835e-196,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Gelderland-Zuid,0.2092092286881061,0.19900480296492828,0.2194136544112839,GGD Fryslân,0.20454326386051522,False,False,0.0,0.00520641649741712,40.18296054337832,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Regio Utrecht,0.20267851125549236,0.19565236503175323,0.20970465747923148,GGD Fryslân,0.20454326386051522,False,False,0.0,0.0035848213907277607,56.53796637671431,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Hollands-Noorden,0.21808080082055534,0.20784438512325618,0.2283172165178545,GGD Fryslân,0.20454326386051522,False,False,0.0,0.00522273815368035,41.756028045725124,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Zaanstreek/Waterland,0.2287117077823006,0.21814625845716087,0.23927715710744032,GGD Fryslân,0.20454326386051522,False,True,0.024168443921785382,0.005390614931332147,42.42775837185992,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Kennemerland,0.20002646787054534,0.19001664456225706,0.21003629117883363,GGD Fryslân,0.20454326386051522,False,False,0.0,0.005107128085623724,39.166134962153876,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Amsterdam,0.22034972896563462,0.20799938990894867,0.23270006802232057,GGD Fryslân,0.20454326386051522,False,False,0.0,0.006301286398447167,34.96900712526503,2.032714262996326e-267,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Gooi en Vechtstreek,0.21128414952543084,0.19713029451994243,0.22543800453091925,GGD Fryslân,0.20454326386051522,False,False,0.0,0.007221461177893355,29.257811448495065,6.176641426952362e-188,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Haaglanden,0.24723271785576076,0.2361793614339458,0.2582860742775757,GGD Fryslân,0.20454326386051522,False,True,0.04268945399524554,0.005639550797616806,43.83907987143901,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Hollands-Midden,0.20043066757736086,0.1921316927871481,0.20872964236757363,GGD Fryslân,0.20454326386051522,False,False,0.0,0.004234233305385563,47.33576379044375,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Rotterdam-Rijnmond,0.25970684883212486,0.2508856012394534,0.2685280964247963,GGD Fryslân,0.20454326386051522,False,True,0.05516358497160964,0.004500702953814381,57.70361907844224,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,Dienst Gezondheid & Jeugd ZHZ,0.20962901357689195,0.19613117148895345,0.22312685566483045,GGD Fryslân,0.20454326386051522,False,False,0.0,0.006886755769759226,30.439443561713674,3.13842949376614e-203,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Zeeland,0.2534854347167104,0.24010111453218203,0.2668697549012388,GGD Fryslân,0.20454326386051522,False,True,0.048942170856195205,0.006828835576426822,37.11986207308074,5.537610811940701e-301,Gezondheid
Alg_gez_0goed_1slecht,1,GGD West-Brabant,0.2460523064571186,0.23483989329112842,0.25726471962310876,GGD Fryslân,0.20454326386051522,False,True,0.041509042596603374,0.005720703395456623,43.01084839541464,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Hart voor Brabant,0.23387096562913107,0.22502340750506733,0.2427185237531948,GGD Fryslân,0.20454326386051522,False,True,0.02932770176861585,0.0045141268924477305,51.808682210596295,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Brabant-Zuidoost,0.24565776669995923,0.23558340043980963,0.2557321329601088,GGD Fryslân,0.20454326386051522,False,True,0.04111450283944401,0.005140058649133983,47.792794492986694,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Limburg-Noord,0.23980881864449244,0.22979659985807138,0.2498210374309135,GGD Fryslân,0.20454326386051522,False,True,0.03526555478397722,0.005108350286383283,46.94447428237685,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Zuid-Limburg,0.2794598232171142,0.2719971505533623,0.2869224958808661,GGD Fryslân,0.20454326386051522,False,True,0.074916559356599,0.003807542249352775,73.39638142285044,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Flevoland,0.22667556710274245,0.198240754312791,0.25511037989269386,GGD Fryslân,0.20454326386051522,False,False,0.0,0.014507771669532786,15.62442339637693,5.19163644470833e-55,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Groningen,0.2200849611543667,0.20891166306083933,0.2312582592478941,GGD Drenthe,0.21112655051590876,False,False,0.0,0.005700746431283182,38.60634108309703,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Fryslân,0.20454326386051522,0.1943528129613585,0.21473371475967193,GGD Drenthe,0.21112655051590876,False,False,0.0,0.005199286379926372,39.34064194852291,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Drenthe,0.21112655051590876,0.19486004544164745,0.22739305559017006,GGD Drenthe,0.21112655051590876,False,False,0.0,0.008299359775003555,25.43889604012477,1.2815992044904011e-142,Gezondheid
Alg_gez_0goed_1slecht,1,GGD IJsselland,0.20047487410820597,0.1868408003639971,0.21410894785241483,GGD Drenthe,0.21112655051590876,False,False,0.0,0.006956262742705825,28.819336118150403,2.0564700539838146e-182,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Regio Twente,0.21031873308882992,0.19834241564075383,0.222295050536906,GGD Drenthe,0.21112655051590876,False,False,0.0,0.006110456230607956,34.4194811567948,3.674863430916172e-259,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Noord- en Oost-Gelderland,0.20436410025988092,0.1954850928531025,0.21324310766665933,GGD Drenthe,0.21112655051590876,False,False,0.0,0.004530172681676788,45.11176827463408,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,Veiligheids- en Gezondheidsregio Gelderland-Midden,0.21178221981792553,0.197917332394454,0.22564710724139705,GGD Drenthe,0.21112655051590876,False,False,0.0,0.007074026562066397,29.93800178155703,1.1490498357446835e-196,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Gelderland-Zuid,0.2092092286881061,0.19900480296492828,0.2194136544112839,GGD Drenthe,0.21112655051590876,False,False,0.0,0.00520641649741712,40.18296054337832,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Regio Utrecht,0.20267851125549236,0.19565236503175323,0.20970465747923148,GGD Drenthe,0.21112655051590876,False,False,0.0,0.0035848213907277607,56.53796637671431,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Hollands-Noorden,0.21808080082055534,0.20784438512325618,0.2283172165178545,GGD Drenthe,0.21112655051590876,False,False,0.0,0.00522273815368035,41.756028045725124,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Zaanstreek/Waterland,0.2287117077823006,0.21814625845716087,0.23927715710744032,GGD Drenthe,0.21112655051590876,False,False,0.0,0.005390614931332147,42.42775837185992,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Kennemerland,0.20002646787054534,0.19001664456225706,0.21003629117883363,GGD Drenthe,0.21112655051590876,False,False,0.0,0.005107128085623724,39.166134962153876,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Amsterdam,0.22034972896563462,0.20799938990894867,0.23270006802232057,GGD Drenthe,0.21112655051590876,False,False,0.0,0.006301286398447167,34.96900712526503,2.032714262996326e-267,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Gooi en Vechtstreek,0.21128414952543084,0.19713029451994243,0.22543800453091925,GGD Drenthe,0.21112655051590876,False,False,0.0,0.007221461177893355,29.257811448495065,6.176641426952362e-188,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Haaglanden,0.24723271785576076,0.2361793614339458,0.2582860742775757,GGD Drenthe,0.21112655051590876,False,True,0.036106167339852,0.005639550797616806,43.83907987143901,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Hollands-Midden,0.20043066757736086,0.1921316927871481,0.20872964236757363,GGD Drenthe,0.21112655051590876,False,False,0.0,0.004234233305385563,47.33576379044375,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Rotterdam-Rijnmond,0.25970684883212486,0.2508856012394534,0.2685280964247963,GGD Drenthe,0.21112655051590876,False,True,0.0485802983162161,0.004500702953814381,57.70361907844224,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,Dienst Gezondheid & Jeugd ZHZ,0.20962901357689195,0.19613117148895345,0.22312685566483045,GGD Drenthe,0.21112655051590876,False,False,0.0,0.006886755769759226,30.439443561713674,3.13842949376614e-203,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Zeeland,0.2534854347167104,0.24010111453218203,0.2668697549012388,GGD Drenthe,0.21112655051590876,False,True,0.042358884200801666,0.006828835576426822,37.11986207308074,5.537610811940701e-301,Gezondheid
Alg_gez_0goed_1slecht,1,GGD West-Brabant,0.2460523064571186,0.23483989329112842,0.25726471962310876,GGD Drenthe,0.21112655051590876,False,True,0.034925755941209835,0.005720703395456623,43.01084839541464,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Hart voor Brabant,0.23387096562913107,0.22502340750506733,0.2427185237531948,GGD Drenthe,0.21112655051590876,False,False,0.0,0.0045141268924477305,51.808682210596295,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Brabant-Zuidoost,0.24565776669995923,0.23558340043980963,0.2557321329601088,GGD Drenthe,0.21112655051590876,False,True,0.03453121618405047,0.005140058649133983,47.792794492986694,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Limburg-Noord,0.23980881864449244,0.22979659985807138,0.2498210374309135,GGD Drenthe,0.21112655051590876,False,True,0.028682268128583682,0.005108350286383283,46.94447428237685,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Zuid-Limburg,0.2794598232171142,0.2719971505533623,0.2869224958808661,GGD Drenthe,0.21112655051590876,False,True,0.06833327270120546,0.003807542249352775,73.39638142285044,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Flevoland,0.22667556710274245,0.198240754312791,0.25511037989269386,GGD Drenthe,0.21112655051590876,False,False,0.0,0.014507771669532786,15.62442339637693,5.19163644470833e-55,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Groningen,0.2200849611543667,0.20891166306083933,0.2312582592478941,GGD IJsselland,0.20047487410820597,False,False,0.0,0.005700746431283182,38.60634108309703,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Fryslân,0.20454326386051522,0.1943528129613585,0.21473371475967193,GGD IJsselland,0.20047487410820597,False,False,0.0,0.005199286379926372,39.34064194852291,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Drenthe,0.21112655051590876,0.19486004544164745,0.22739305559017006,GGD IJsselland,0.20047487410820597,False,False,0.0,0.008299359775003555,25.43889604012477,1.2815992044904011e-142,Gezondheid
Alg_gez_0goed_1slecht,1,GGD IJsselland,0.20047487410820597,0.1868408003639971,0.21410894785241483,GGD IJsselland,0.20047487410820597,False,False,0.0,0.006956262742705825,28.819336118150403,2.0564700539838146e-182,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Regio Twente,0.21031873308882992,0.19834241564075383,0.222295050536906,GGD IJsselland,0.20047487410820597,False,False,0.0,0.006110456230607956,34.4194811567948,3.674863430916172e-259,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Noord- en Oost-Gelderland,0.20436410025988092,0.1954850928531025,0.21324310766665933,GGD IJsselland,0.20047487410820597,False,False,0.0,0.004530172681676788,45.11176827463408,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,Veiligheids- en Gezondheidsregio Gelderland-Midden,0.21178221981792553,0.197917332394454,0.22564710724139705,GGD IJsselland,0.20047487410820597,False,False,0.0,0.007074026562066397,29.93800178155703,1.1490498357446835e-196,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Gelderland-Zuid,0.2092092286881061,0.19900480296492828,0.2194136544112839,GGD IJsselland,0.20047487410820597,False,False,0.0,0.00520641649741712,40.18296054337832,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Regio Utrecht,0.20267851125549236,0.19565236503175323,0.20970465747923148,GGD IJsselland,0.20047487410820597,False,False,0.0,0.0035848213907277607,56.53796637671431,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Hollands-Noorden,0.21808080082055534,0.20784438512325618,0.2283172165178545,GGD IJsselland,0.20047487410820597,False,False,0.0,0.00522273815368035,41.756028045725124,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Zaanstreek/Waterland,0.2287117077823006,0.21814625845716087,0.23927715710744032,GGD IJsselland,0.20047487410820597,False,True,0.02823683367409463,0.005390614931332147,42.42775837185992,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Kennemerland,0.20002646787054534,0.19001664456225706,0.21003629117883363,GGD IJsselland,0.20047487410820597,False,False,0.0,0.005107128085623724,39.166134962153876,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Amsterdam,0.22034972896563462,0.20799938990894867,0.23270006802232057,GGD IJsselland,0.20047487410820597,False,False,0.0,0.006301286398447167,34.96900712526503,2.032714262996326e-267,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Gooi en Vechtstreek,0.21128414952543084,0.19713029451994243,0.22543800453091925,GGD IJsselland,0.20047487410820597,False,False,0.0,0.007221461177893355,29.257811448495065,6.176641426952362e-188,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Haaglanden,0.24723271785576076,0.2361793614339458,0.2582860742775757,GGD IJsselland,0.20047487410820597,False,True,0.04675784374755479,0.005639550797616806,43.83907987143901,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Hollands-Midden,0.20043066757736086,0.1921316927871481,0.20872964236757363,GGD IJsselland,0.20047487410820597,False,False,0.0,0.004234233305385563,47.33576379044375,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Rotterdam-Rijnmond,0.25970684883212486,0.2508856012394534,0.2685280964247963,GGD IJsselland,0.20047487410820597,False,True,0.05923197472391889,0.004500702953814381,57.70361907844224,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,Dienst Gezondheid & Jeugd ZHZ,0.20962901357689195,0.19613117148895345,0.22312685566483045,GGD IJsselland,0.20047487410820597,False,False,0.0,0.006886755769759226,30.439443561713674,3.13842949376614e-203,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Zeeland,0.2534854347167104,0.24010111453218203,0.2668697549012388,GGD IJsselland,0.20047487410820597,False,True,0.05301056060850445,0.006828835576426822,37.11986207308074,5.537610811940701e-301,Gezondheid
Alg_gez_0goed_1slecht,1,GGD West-Brabant,0.2460523064571186,0.23483989329112842,0.25726471962310876,GGD IJsselland,0.20047487410820597,False,True,0.04557743234891262,0.005720703395456623,43.01084839541464,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Hart voor Brabant,0.23387096562913107,0.22502340750506733,0.2427185237531948,GGD IJsselland,0.20047487410820597,False,True,0.0333960915209251,0.0045141268924477305,51.808682210596295,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Brabant-Zuidoost,0.24565776669995923,0.23558340043980963,0.2557321329601088,GGD IJsselland,0.20047487410820597,False,True,0.04518289259175326,0.005140058649133983,47.792794492986694,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Limburg-Noord,0.23980881864449244,0.22979659985807138,0.2498210374309135,GGD IJsselland,0.20047487410820597,False,True,0.03933394453628647,0.005108350286383283,46.94447428237685,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Zuid-Limburg,0.2794598232171142,0.2719971505533623,0.2869224958808661,GGD IJsselland,0.20047487410820597,False,True,0.07898494910890824,0.003807542249352775,73.39638142285044,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Flevoland,0.22667556710274245,0.198240754312791,0.25511037989269386,GGD IJsselland,0.20047487410820597,False,False,0.0,0.014507771669532786,15.62442339637693,5.19163644470833e-55,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Groningen,0.2200849611543667,0.20891166306083933,0.2312582592478941,GGD Regio Twente,0.21031873308882992,False,False,0.0,0.005700746431283182,38.60634108309703,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Fryslân,0.20454326386051522,0.1943528129613585,0.21473371475967193,GGD Regio Twente,0.21031873308882992,False,False,0.0,0.005199286379926372,39.34064194852291,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Drenthe,0.21112655051590876,0.19486004544164745,0.22739305559017006,GGD Regio Twente,0.21031873308882992,False,False,0.0,0.008299359775003555,25.43889604012477,1.2815992044904011e-142,Gezondheid
Alg_gez_0goed_1slecht,1,GGD IJsselland,0.20047487410820597,0.1868408003639971,0.21410894785241483,GGD Regio Twente,0.21031873308882992,False,False,0.0,0.006956262742705825,28.819336118150403,2.0564700539838146e-182,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Regio Twente,0.21031873308882992,0.19834241564075383,0.222295050536906,GGD Regio Twente,0.21031873308882992,False,False,0.0,0.006110456230607956,34.4194811567948,3.674863430916172e-259,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Noord- en Oost-Gelderland,0.20436410025988092,0.1954850928531025,0.21324310766665933,GGD Regio Twente,0.21031873308882992,False,False,0.0,0.004530172681676788,45.11176827463408,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,Veiligheids- en Gezondheidsregio Gelderland-Midden,0.21178221981792553,0.197917332394454,0.22564710724139705,GGD Regio Twente,0.21031873308882992,False,False,0.0,0.007074026562066397,29.93800178155703,1.1490498357446835e-196,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Gelderland-Zuid,0.2092092286881061,0.19900480296492828,0.2194136544112839,GGD Regio Twente,0.21031873308882992,False,False,0.0,0.00520641649741712,40.18296054337832,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Regio Utrecht,0.20267851125549236,0.19565236503175323,0.20970465747923148,GGD Regio Twente,0.21031873308882992,False,False,0.0,0.0035848213907277607,56.53796637671431,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Hollands-Noorden,0.21808080082055534,0.20784438512325618,0.2283172165178545,GGD Regio Twente,0.21031873308882992,False,False,0.0,0.00522273815368035,41.756028045725124,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Zaanstreek/Waterland,0.2287117077823006,0.21814625845716087,0.23927715710744032,GGD Regio Twente,0.21031873308882992,False,False,0.0,0.005390614931332147,42.42775837185992,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Kennemerland,0.20002646787054534,0.19001664456225706,0.21003629117883363,GGD Regio Twente,0.21031873308882992,False,False,0.0,0.005107128085623724,39.166134962153876,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Amsterdam,0.22034972896563462,0.20799938990894867,0.23270006802232057,GGD Regio Twente,0.21031873308882992,False,False,0.0,0.006301286398447167,34.96900712526503,2.032714262996326e-267,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Gooi en Vechtstreek,0.21128414952543084,0.19713029451994243,0.22543800453091925,GGD Regio Twente,0.21031873308882992,False,False,0.0,0.007221461177893355,29.257811448495065,6.176641426952362e-188,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Haaglanden,0.24723271785576076,0.2361793614339458,0.2582860742775757,GGD Regio Twente,0.21031873308882992,False,True,0.036913984766930835,0.005639550797616806,43.83907987143901,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Hollands-Midden,0.20043066757736086,0.1921316927871481,0.20872964236757363,GGD Regio Twente,0.21031873308882992,False,False,0.0,0.004234233305385563,47.33576379044375,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Rotterdam-Rijnmond,0.25970684883212486,0.2508856012394534,0.2685280964247963,GGD Regio Twente,0.21031873308882992,False,True,0.049388115743294936,0.004500702953814381,57.70361907844224,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,Dienst Gezondheid & Jeugd ZHZ,0.20962901357689195,0.19613117148895345,0.22312685566483045,GGD Regio Twente,0.21031873308882992,False,False,0.0,0.006886755769759226,30.439443561713674,3.13842949376614e-203,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Zeeland,0.2534854347167104,0.24010111453218203,0.2668697549012388,GGD Regio Twente,0.21031873308882992,False,True,0.0431667016278805,0.006828835576426822,37.11986207308074,5.537610811940701e-301,Gezondheid
Alg_gez_0goed_1slecht,1,GGD West-Brabant,0.2460523064571186,0.23483989329112842,0.25726471962310876,GGD Regio Twente,0.21031873308882992,False,True,0.03573357336828867,0.005720703395456623,43.01084839541464,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Hart voor Brabant,0.23387096562913107,0.22502340750506733,0.2427185237531948,GGD Regio Twente,0.21031873308882992,False,True,0.023552232540301143,0.0045141268924477305,51.808682210596295,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Brabant-Zuidoost,0.24565776669995923,0.23558340043980963,0.2557321329601088,GGD Regio Twente,0.21031873308882992,False,True,0.035339033611129306,0.005140058649133983,47.792794492986694,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Limburg-Noord,0.23980881864449244,0.22979659985807138,0.2498210374309135,GGD Regio Twente,0.21031873308882992,False,True,0.029490085555662515,0.005108350286383283,46.94447428237685,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Zuid-Limburg,0.2794598232171142,0.2719971505533623,0.2869224958808661,GGD Regio Twente,0.21031873308882992,False,True,0.06914109012828429,0.003807542249352775,73.39638142285044,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Flevoland,0.22667556710274245,0.198240754312791,0.25511037989269386,GGD Regio Twente,0.21031873308882992,False,False,0.0,0.014507771669532786,15.62442339637693,5.19163644470833e-55,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Groningen,0.2200849611543667,0.20891166306083933,0.2312582592478941,GGD Noord- en Oost-Gelderland,0.20436410025988092,False,False,0.0,0.005700746431283182,38.60634108309703,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Fryslân,0.20454326386051522,0.1943528129613585,0.21473371475967193,GGD Noord- en Oost-Gelderland,0.20436410025988092,False,False,0.0,0.005199286379926372,39.34064194852291,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Drenthe,0.21112655051590876,0.19486004544164745,0.22739305559017006,GGD Noord- en Oost-Gelderland,0.20436410025988092,False,False,0.0,0.008299359775003555,25.43889604012477,1.2815992044904011e-142,Gezondheid
Alg_gez_0goed_1slecht,1,GGD IJsselland,0.20047487410820597,0.1868408003639971,0.21410894785241483,GGD Noord- en Oost-Gelderland,0.20436410025988092,False,False,0.0,0.006956262742705825,28.819336118150403,2.0564700539838146e-182,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Regio Twente,0.21031873308882992,0.19834241564075383,0.222295050536906,GGD Noord- en Oost-Gelderland,0.20436410025988092,False,False,0.0,0.006110456230607956,34.4194811567948,3.674863430916172e-259,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Noord- en Oost-Gelderland,0.20436410025988092,0.1954850928531025,0.21324310766665933,GGD Noord- en Oost-Gelderland,0.20436410025988092,False,False,0.0,0.004530172681676788,45.11176827463408,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,Veiligheids- en Gezondheidsregio Gelderland-Midden,0.21178221981792553,0.197917332394454,0.22564710724139705,GGD Noord- en Oost-Gelderland,0.20436410025988092,False,False,0.0,0.007074026562066397,29.93800178155703,1.1490498357446835e-196,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Gelderland-Zuid,0.2092092286881061,0.19900480296492828,0.2194136544112839,GGD Noord- en Oost-Gelderland,0.20436410025988092,False,False,0.0,0.00520641649741712,40.18296054337832,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Regio Utrecht,0.20267851125549236,0.19565236503175323,0.20970465747923148,GGD Noord- en Oost-Gelderland,0.20436410025988092,False,False,0.0,0.0035848213907277607,56.53796637671431,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Hollands-Noorden,0.21808080082055534,0.20784438512325618,0.2283172165178545,GGD Noord- en Oost-Gelderland,0.20436410025988092,False,False,0.0,0.00522273815368035,41.756028045725124,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Zaanstreek/Waterland,0.2287117077823006,0.21814625845716087,0.23927715710744032,GGD Noord- en Oost-Gelderland,0.20436410025988092,False,True,0.024347607522419684,0.005390614931332147,42.42775837185992,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Kennemerland,0.20002646787054534,0.19001664456225706,0.21003629117883363,GGD Noord- en Oost-Gelderland,0.20436410025988092,False,False,0.0,0.005107128085623724,39.166134962153876,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Amsterdam,0.22034972896563462,0.20799938990894867,0.23270006802232057,GGD Noord- en Oost-Gelderland,0.20436410025988092,False,False,0.0,0.006301286398447167,34.96900712526503,2.032714262996326e-267,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Gooi en Vechtstreek,0.21128414952543084,0.19713029451994243,0.22543800453091925,GGD Noord- en Oost-Gelderland,0.20436410025988092,False,False,0.0,0.007221461177893355,29.257811448495065,6.176641426952362e-188,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Haaglanden,0.24723271785576076,0.2361793614339458,0.2582860742775757,GGD Noord- en Oost-Gelderland,0.20436410025988092,False,True,0.04286861759587984,0.005639550797616806,43.83907987143901,0.0,Gezondheid
Alg_gez_0goed_1slecht,1,GGD Hollands-Midden,0.20043066757736086,0.1921316927871481,0.20872964236757363,GGD Noord- en Oost-Gelderland,0.20436410025988092,False,False,0.0,0.004234233305385563,47.33576379044375,0.0,Gezondheid
